request_id,account_id,amount,decision,reason_code,severity
W100067,A0024,913.54,REJECT,ACCOUNT_NOT_ACTIVE,95
W100111,A0028,1692.91,APPROVE,NONE,0
W100089,A0006,9484.75,REJECT,ACCOUNT_NOT_ACTIVE,95
W100015,A0029,3187.68,APPROVE,NONE,0
W100077,A0024,1132.28,REJECT,ACCOUNT_NOT_ACTIVE,95
W100022,A0019,11612.55,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100044,A0003,10244.98,REJECT,DUPLICATE_REQUEST,70
W100065,A0007,1260.99,APPROVE,NONE,0
W100095,A0035,4768.42,APPROVE,NONE,0
W100030,A0015,455.36,APPROVE,NONE,0
W100062,A0004,4146.56,APPROVE,NONE,0
W100047_DUP,A0027,91705.36,REJECT,ACCOUNT_NOT_ACTIVE,95
W100009,A0023,12131.82,APPROVE,NONE,0
W100033,A0021,293.04,HOLD,DEST_CHANGED_RECENTLY,45
W100066,A0001,6044.91,REJECT,ACCOUNT_NOT_ACTIVE,95
W100025,A0024,1268.89,REJECT,ACCOUNT_NOT_ACTIVE,95
W100115,A0021,790.59,HOLD,DEST_CHANGED_RECENTLY,45
W100028,A0028,2709.37,HOLD,URGENT_RISK_TIER,35
W100097,A0008,6683.68,APPROVE,NONE,0
W100091,A0028,2827.69,APPROVE,NONE,0
W100053,A0035,3035.63,APPROVE,NONE,0
W100005,A0028,6859.8,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100068,A0035,0.0,REJECT,INVALID_AMOUNT,85
W100073,A0025,3063.75,REJECT,DUPLICATE_REQUEST,70
W100039,A0014,1859.07,REJECT,ACCOUNT_NOT_ACTIVE,95
W100049,A0002,819.32,HOLD,URGENT_RISK_TIER,35
W100035,A0020,3445.06,APPROVE,NONE,0
W100016,A0018,2425.21,HOLD,DEST_CHANGED_RECENTLY,45
W100004_DUP,A0026,21878.31,REJECT,DUPLICATE_REQUEST,70
W100034,A0010,4300.85,APPROVE,NONE,0
W100085,A0005,136028.77,REJECT,ACCOUNT_NOT_ACTIVE,95
W100007,A0018,673.76,HOLD,DEST_CHANGED_RECENTLY,45
W100043,A0028,2699.82,HOLD,URGENT_RISK_TIER,35
W100076,A0010,1319.48,APPROVE,NONE,0
W100112,A0006,15791.24,REJECT,ACCOUNT_NOT_ACTIVE,95
W100108,A0002,882.04,APPROVE,NONE,0
W100008,A0034,13847.58,APPROVE,NONE,0
W100013,A0010,2330.72,APPROVE,NONE,0
W100093,A0025,3821.11,APPROVE,NONE,0
W100003,A0029,3954.08,APPROVE,NONE,0
W100017,A0001,4785.33,REJECT,ACCOUNT_NOT_ACTIVE,95
W100038,A0029,5802.4,APPROVE,NONE,0
W100072,A0020,8669.22,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100100,A0010,2555.61,APPROVE,NONE,0
W100006,A0011,10904.22,HOLD,DEST_CHANGED_RECENTLY,45
W100083,A0029,2771.68,APPROVE,NONE,0
W100110,A0011,6282.8,HOLD,DEST_CHANGED_RECENTLY,45
W100119,A0033,1364.85,HOLD,URGENT_RISK_TIER,35
W100054,A0002,6719.15,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100050,A0016,2844.67,REJECT,KYC_NOT_VERIFIED,100
W100117,A0002,2475.06,APPROVE,NONE,0
W100046,A0023,8218.61,HOLD,URGENT_RISK_TIER,35
W100055_DUP,A0032,2000.27,REJECT,DUPLICATE_REQUEST,70
W100061,A0025,2038.82,APPROVE,NONE,0
W100026_DUP,A0021,1145.83,REJECT,DUPLICATE_REQUEST,70
W100079,A0035,7518.15,APPROVE,NONE,0
W100101,A0017,1735.94,HOLD,DEST_CHANGED_RECENTLY,45
W100041,A0034,10920.86,APPROVE,NONE,0
W100058,A0018,10730.44,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100090,A0025,836.28,APPROVE,NONE,0
W100048,A0020,4216.9,APPROVE,NONE,0
W100088,A0020,1556.51,APPROVE,NONE,0
W100109,A0028,7110.68,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100057,A0023,9827.84,HOLD,URGENT_RISK_TIER,35
W100075,A0004,1363.04,HOLD,URGENT_RISK_TIER,35
W100032,A0010,9330.97,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100044_DUP,A0003,10244.98,REJECT,DUPLICATE_REQUEST,70
W100059,A0020,2282.12,APPROVE,NONE,0
W100063,A0024,371.46,REJECT,ACCOUNT_NOT_ACTIVE,95
W100107,A0026,19245.96,HOLD,DEST_CHANGED_RECENTLY,45
W100037,A0021,942.2,HOLD,DEST_CHANGED_RECENTLY,45
W100029,A0003,27278.01,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100114,A0028,415.24,APPROVE,NONE,0
W100001,A0016,3049.9,REJECT,KYC_NOT_VERIFIED,100
W100052,A0004,9835.49,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65
W100021,A0001,5328.65,REJECT,ACCOUNT_NOT_ACTIVE,95
W100002,A0008,4505.68,APPROVE,NONE,0
W100023,A0020,622.88,HOLD,URGENT_RISK_TIER,35
W100103,A0018,4144.94,HOLD,DEST_CHANGED_RECENTLY,45
W100099,A0021,437.22,HOLD,DEST_CHANGED_RECENTLY,45
W100087,A0013,5836.91,REJECT,KYC_NOT_VERIFIED,100
W100116,A0019,4793.59,APPROVE,NONE,0
W100074,A0006,69426.98,REJECT,ACCOUNT_NOT_ACTIVE,95
W100086,A0002,1364.52,HOLD,URGENT_RISK_TIER,35
W100082,A0012,4593.63,REJECT,KYC_NOT_VERIFIED,100
W100010_DUP,A0034,11003.28,REJECT,DUPLICATE_REQUEST,70
W100020,A0012,5257.29,REJECT,KYC_NOT_VERIFIED,100
W100060,A0019,4027.66,APPROVE,NONE,0
W100071,A0030,11715.75,APPROVE,NONE,0
W100106,A0009,1105.14,APPROVE,NONE,0
W100014,A0004,1929.38,APPROVE,NONE,0
W100092,A0004,4748.63,APPROVE,NONE,0
W100051,A0012,18378.93,REJECT,KYC_NOT_VERIFIED,100
W100102,A0004,3263.51,APPROVE,NONE,0
